NOME_SALA;REGISTRO_SALA;CNPJ_SALA;SITUACAO_SALA;DATA_SITUACAO_SALA;DATA_INICIO_FUNCIONAMENTO_SALA;ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;REGISTRO_COMPLEXO;SITUACAO_COMPLEXO;DATA_SITUACAO_COMPLEXO;PAGINA_ELETRONICA_COMPLEXO;ENDERECO_COMPLEXO;NUMERO_ENDERECO_COMPLEXO;COMPLEMENTO_COMPLEXO;BAIRRO_COMPLEXO;MUNICIPIO_COMPLEXO;CEP_COMPLEXO;UF_COMPLEXO;COMPLEXO_ITINERANTE;OPERACAO_USUAL;NOME_EXIBIDOR;REGISTRO_EXIBIDOR;CNPJ_EXIBIDOR;SITUACAO_EXIBIDOR;NOME_GRUPO_EXIBIDOR
CINE COMPANY JAGUARIUNA;5003332.0;10.615.866/0001-60;FECHADO;2011-08-29;2008-12-16;162.0;0.0;0.0;0.0;NÃO;NÃO;NÃO;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA.;19955;FECHADO;2011-08-29;0;RUA CANDIDO BUENO, 1299  SALA CINEMA;0.0;0;CENTRO;JAGUARIÚNA;13820-000;SP;NÃO;COMERCIAL;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA;19954;10.615.866/0001-60;IRREGULAR;NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE COMPANY JAGUARIUNA SALA 01;5003331.0;10.615.866/0001-60;FECHADO;2011-08-29;2008-12-16;162.0;0.0;0.0;0.0;NÃO;NÃO;NÃO;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA.;19955;FECHADO;2011-08-29;0;RUA CANDIDO BUENO, 1299  SALA CINEMA;0.0;0;CENTRO;JAGUARIÚNA;13820-000;SP;NÃO;COMERCIAL;02 P D & ARAUJO EMPRESA CINEMATOGRAFICA LTDA;19954;10.615.866/0001-60;IRREGULAR;NÃO PERTENCE A NENHUM GRUPO EXIBIDOR
PARK SHOPPING 01;5003401.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;402.0;8.0;5.0;5.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 02;5003402.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;370.0;8.0;4.0;4.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 03;5003403.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;245.0;5.0;3.0;3.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 04;5003404.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;332.0;5.0;3.0;3.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 05;5003405.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;210.0;4.0;3.0;3.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 06;5003406.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;137.0;3.0;1.0;1.0;SIM;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PARK SHOPPING 07;5003407.0;00.779.721/0054-53;EM FUNCIONAMENTO;2021-04-24;2011-11-18;150.0;3.0;1.0;1.0;NÃO;NÃO;SIM;2100 CINEMARK PARK SHOPPING SÃO CAETANO;20449;EM FUNCIONAMENTO;2021-04-24;0;ALAMEDA TERRACOTA;2041.0;0;CERAMICA;SÃO CAETANO DO SUL;09531-190;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PATIO UBERLANDIA 1;5003547.0;00.779.721/0055-34;EM FUNCIONAMENTO;2021-11-27;2012-03-30;313.0;6.0;4.0;4.0;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;EM FUNCIONAMENTO;2021-11-27;www.cinemark.com.br;AVENIDA PAULO GRACINDO;15.0;0;MORADA DA COLINA;UBERLÂNDIA;38411-145;MG;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
